"GameId" "Date" "HomeTeam" "AwayTeam" "HomeGoals" "HomeShots" "AwayGoals" "AwayShots"
"43" 21692 "Game # 43. 11 September 2008, Thursday, " "Neftekhimik Nizhnekamsk" "Lada" "2" "16" "1" "19"
"44" 21693 "Game # 44. 11 September 2008, Thursday, " "Barys Astana" "Traktor Chelyabinsk" "3" "29" "4" "31"
"45" 21694 "Game # 45. 11 September 2008, Thursday, " "SKA Saint Petersburg" "Amur Khabarovsk" "4" "24" "0" "14"
"46" 21695 "Game # 46. 11 September 2008, Thursday, " "Severstal Cherepovets" "Metallurg Novokuznetsk" "1" "23" "6" "31"
"47" 21696 "Game # 47. 11 September 2008, Thursday, " "Dinamo Riga" "HC MVD" "2" "24" "1" "34"
"48" 21697 "Game # 48. 11 September 2008, Thursday, " "Vityaz Moscow Region" "Torpedo Nizhny Novgorod" "5" "29" "5" "32"
"49" 21698 "Game # 49. 12 September 2008, Friday, " "Avangard Omsk Region" "Salavat Yulaev Ufa" "1" "32" "5" "31"
"50" 21699 "Game # 50. 12 September 2008, Friday, " "Barys Astana" "Metallurg Magnitogorsk" "3" "27" "4" "30"
"51" 21700 "Game # 51. 12 September 2008, Friday, " "Lokomotiv Yaroslavl" "Sibir Novosibirsk Region" "3" "43" "1" "22"
"52" 21701 "Game # 52. 12 September 2008, Friday, " "Dinamo Minsk" "Atlant Moscow Region" "1" "27" "4" "21"
"53" 21702 "Game # 53. 12 September 2008, Friday, " "Spartak Moscow" "CSKA Moscow" "5" "29" "5" "26"
"54" 21703 "Game # 54. 13 September 2008, Saturday, " "" "Traktor Chelyabinsk" "0" "25" "5" "36"
"55" 21704 "Game # 55. 13 September 2008, Saturday, " "SKA Saint Petersburg" "HC MVD" "2" "29" "3" "22"
"56" 21705 "Game # 56. 13 September 2008, Saturday, " "Severstal Cherepovets" "Amur Khabarovsk" "2" "29" "2" "33"
"57" 21706 "Game # 57. 13 September 2008, Saturday, " "Lokomotiv Yaroslavl" "Metallurg Novokuznetsk" "5" "39" "3" "26"
"58" 21707 "Game # 58. 13 September 2008, Saturday, " "Dinamo Minsk" "Torpedo Nizhny Novgorod" "0" "14" "5" "29"
"59" 21708 "Game # 59. 13 September 2008, Saturday, " "Vityaz Moscow Region" "Dynamo M" "1" "24" "1" "31"
"60" 21709 "Game # 60. 14 September 2008, Sunday, " "Barys Astana" "Salavat Yulaev Ufa" "2" "29" "2" "39"
"61" 21710 "Game # 61. 14 September 2008, Sunday, " "" "Metallurg Magnitogorsk" "1" "11" "2" "28"
"62" 21711 "Game # 62. 14 September 2008, Sunday, " "Severstal Cherepovets" "Sibir Novosibirsk Region" "6" "20" "1" "22"
"63" 21712 "Game # 63. 14 September 2008, Sunday, " "Dinamo Riga" "Atlant Moscow Region" "2" "28" "0" "32"
"64" 21713 "Game # 64. 14 September 2008, Sunday, " "Vityaz Moscow Region" "Neftekhimik Nizhnekamsk" "2" "21" "1" "28"
"65" 21714 "Game # 65. 15 September 2008, Monday, " "Lada" "Ak Bars Kazan" "3" "22" "2" "24"
"66" 21715 "Game # 66. 15 September 2008, Monday, " "Avangard Omsk Region" "Traktor Chelyabinsk" "3" "23" "6" "20"
"67" 21716 "Game # 67. 15 September 2008, Monday, " "SKA Saint Petersburg" "Metallurg Novokuznetsk" "0" "21" "1" "17"
"68" 21717 "Game # 68. 15 September 2008, Monday, " "Lokomotiv Yaroslavl" "Amur Khabarovsk" "3" "33" "0" "19"
"69" 21718 "Game # 69. 15 September 2008, Monday, " "Dinamo Riga" "Torpedo Nizhny Novgorod" "4" "26" "1" "31"
"70" 21719 "Game # 70. 15 September 2008, Monday, " "Dinamo Minsk" "Spartak Moscow" "0" "18" "2" "16"
"71" 21720 "Game # 71. 15 September 2008, Monday, " "Dynamo M" "HC MVD" "3" "21" "2" "18"
"72" 21721 "Game # 72. 16 September 2008, Tuesday, " "Barys Astana" "Neftekhimik Nizhnekamsk" "3" "34" "2" "37"
"73" 21722 "Game # 73. 16 September 2008, Tuesday, " "" "Salavat Yulaev Ufa" "1" "22" "2" "35"
