"","X","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomePDO","AwayPDO","HomeTSR","AwayTSR","HomeWins","AwayWins"
"44",44,21693,2008-09-11,"Barys Astana","Traktor Chelyabinsk",3,29,4,31,974,1026,0.483333333333333,0.516666666666667,"loss","win"
"45",45,21694,2008-09-11,"SKA Saint Petersburg","Amur Khabarovsk",4,24,0,14,1167,833,0.631578947368421,0.368421052631579,"win","loss"
"46",46,21695,2008-09-11,"Severstal Cherepovets","Metallurg Novokuznetsk",1,23,6,31,850,1150,0.425925925925926,0.574074074074074,"loss","win"
"47",47,21696,2008-09-11,"Dinamo Riga","HC MVD",2,24,1,34,1054,946,0.413793103448276,0.586206896551724,"win","loss"
"48",48,21697,2008-09-11,"Vityaz Moscow Region","Torpedo Nizhny Novgorod",5,29,5,32,1016,984,0.475409836065574,0.524590163934426,"draw","draw"
"49",49,21698,2008-09-12,"Avangard Omsk Region","Salavat Yulaev Ufa",1,32,5,31,870,1130,0.507936507936508,0.492063492063492,"loss","win"
"50",50,21699,2008-09-12,"Barys Astana","Metallurg Magnitogorsk",3,27,4,30,978,1022,0.473684210526316,0.526315789473684,"loss","win"
"51",51,21700,2008-09-12,"Lokomotiv Yaroslavl","Sibir Novosibirsk Region",3,43,1,22,1024,976,0.661538461538462,0.338461538461538,"win","loss"
"52",52,21701,2008-09-12,"Dinamo Minsk","Atlant Moscow Region",1,27,4,21,847,1153,0.5625,0.4375,"loss","win"
"53",53,21702,2008-09-12,"Spartak Moscow","CSKA Moscow",5,29,5,26,980,1020,0.527272727272727,0.472727272727273,"draw","draw"
"54",54,21703,2008-09-13,"Khimik","Traktor Chelyabinsk",0,25,5,36,861,1139,0.409836065573771,0.590163934426229,"loss","win"
"55",55,21704,2008-09-13,"SKA Saint Petersburg","HC MVD",2,29,3,22,933,1067,0.568627450980392,0.431372549019608,"loss","win"
"56",56,21705,2008-09-13,"Severstal Cherepovets","Amur Khabarovsk",2,29,2,33,1008,992,0.467741935483871,0.532258064516129,"draw","draw"
"57",57,21706,2008-09-13,"Lokomotiv Yaroslavl","Metallurg Novokuznetsk",5,39,3,26,1013,987,0.6,0.4,"win","loss"
"58",58,21707,2008-09-13,"Dinamo Minsk","Torpedo Nizhny Novgorod",0,14,5,29,828,1172,0.325581395348837,0.674418604651163,"loss","win"
"59",59,21708,2008-09-13,"Vityaz Moscow Region","Dynamo M",1,24,1,31,1009,991,0.436363636363636,0.563636363636364,"draw","draw"
"60",60,21709,2008-09-14,"Barys Astana","Salavat Yulaev Ufa",2,29,2,39,1018,982,0.426470588235294,0.573529411764706,"draw","draw"
"61",61,21710,2008-09-14,"Khimik","Metallurg Magnitogorsk",1,11,2,28,1019,981,0.282051282051282,0.717948717948718,"loss","win"
"62",62,21711,2008-09-14,"Severstal Cherepovets","Sibir Novosibirsk Region",6,20,1,22,1255,745,0.476190476190476,0.523809523809524,"win","loss"
